# tform	zone_origin	zone_final
0.000000e+00	0	0
0.000000e+00	1	1
0.000000e+00	2	2
0.000000e+00	3	3
0.000000e+00	4	4
0.000000e+00	5	5
0.000000e+00	6	6
0.000000e+00	7	1
0.000000e+00	8	9
0.000000e+00	9	9
0.000000e+00	10	10
0.000000e+00	11	18
0.000000e+00	12	8
0.000000e+00	13	10
0.000000e+00	14	13
0.000000e+00	15	16
0.000000e+00	16	16
0.000000e+00	17	17
0.000000e+00	18	18
0.000000e+00	19	19
0.000000e+00	20	20
0.000000e+00	21	21
0.000000e+00	22	22
0.000000e+00	23	23
0.000000e+00	24	24
0.000000e+00	25	25
0.000000e+00	26	26
0.000000e+00	27	27
0.000000e+00	28	28
0.000000e+00	29	29
1.000000e-02	0	0
1.000000e-02	1	1
1.000000e-02	2	2
1.000000e-02	3	3
1.000000e-02	4	4
1.000000e-02	5	5
1.000000e-02	6	6
1.000000e-02	7	1
1.000000e-02	8	9
1.000000e-02	9	9
1.000000e-02	10	10
1.000000e-02	11	18
1.000000e-02	12	8
1.000000e-02	13	10
1.000000e-02	14	13
1.000000e-02	15	16
1.000000e-02	16	16
1.000000e-02	17	17
1.000000e-02	18	18
1.000000e-02	19	19
1.000000e-02	20	20
1.000000e-02	21	21
1.000000e-02	22	22
1.000000e-02	23	23
1.000000e-02	24	24
1.000000e-02	25	25
1.000000e-02	26	26
1.000000e-02	27	27
1.000000e-02	28	28
1.000000e-02	29	29
2.000000e-02	0	0
2.000000e-02	1	1
2.000000e-02	2	2
2.000000e-02	3	3
2.000000e-02	4	4
2.000000e-02	5	5
2.000000e-02	6	6
2.000000e-02	7	1
2.000000e-02	8	9
2.000000e-02	9	9
2.000000e-02	10	10
2.000000e-02	11	18
2.000000e-02	12	8
2.000000e-02	13	10
2.000000e-02	14	13
2.000000e-02	15	16
2.000000e-02	16	16
2.000000e-02	17	17
2.000000e-02	18	18
2.000000e-02	19	19
2.000000e-02	20	20
2.000000e-02	21	21
2.000000e-02	22	22
2.000000e-02	23	23
2.000000e-02	24	24
2.000000e-02	25	25
2.000000e-02	26	26
2.000000e-02	27	27
2.000000e-02	28	28
2.000000e-02	29	29
3.000000e-02	0	0
3.000000e-02	1	1
3.000000e-02	2	2
3.000000e-02	3	3
3.000000e-02	4	4
3.000000e-02	5	5
3.000000e-02	6	6
3.000000e-02	7	1
3.000000e-02	8	9
3.000000e-02	9	9
3.000000e-02	10	10
3.000000e-02	11	18
3.000000e-02	12	8
3.000000e-02	13	10
3.000000e-02	14	13
3.000000e-02	15	16
3.000000e-02	16	16
3.000000e-02	17	17
3.000000e-02	18	18
3.000000e-02	19	19
3.000000e-02	20	20
3.000000e-02	21	21
3.000000e-02	22	22
3.000000e-02	23	23
3.000000e-02	24	24
3.000000e-02	25	25
3.000000e-02	26	26
3.000000e-02	27	27
3.000000e-02	28	28
3.000000e-02	29	29
4.000000e-02	0	0
4.000000e-02	1	1
4.000000e-02	2	2
4.000000e-02	3	3
4.000000e-02	4	4
4.000000e-02	5	5
4.000000e-02	6	6
4.000000e-02	7	1
4.000000e-02	8	9
4.000000e-02	9	9
4.000000e-02	10	10
4.000000e-02	11	18
4.000000e-02	12	8
4.000000e-02	13	10
4.000000e-02	14	13
4.000000e-02	15	16
4.000000e-02	16	16
4.000000e-02	17	17
4.000000e-02	18	18
4.000000e-02	19	19
4.000000e-02	20	20
4.000000e-02	21	21
4.000000e-02	22	22
4.000000e-02	23	23
4.000000e-02	24	24
4.000000e-02	25	25
4.000000e-02	26	26
4.000000e-02	27	27
4.000000e-02	28	28
4.000000e-02	29	29
5.000000e-02	0	0
5.000000e-02	1	1
5.000000e-02	2	2
5.000000e-02	3	3
5.000000e-02	4	4
5.000000e-02	5	5
5.000000e-02	6	6
5.000000e-02	7	1
5.000000e-02	8	9
5.000000e-02	9	9
5.000000e-02	10	10
5.000000e-02	11	18
5.000000e-02	12	8
5.000000e-02	13	10
5.000000e-02	14	13
5.000000e-02	15	16
5.000000e-02	16	16
5.000000e-02	17	17
5.000000e-02	18	18
5.000000e-02	19	19
5.000000e-02	20	20
5.000000e-02	21	21
5.000000e-02	22	22
5.000000e-02	23	23
5.000000e-02	24	24
5.000000e-02	25	25
5.000000e-02	26	26
5.000000e-02	27	27
5.000000e-02	28	28
5.000000e-02	29	29
6.000000e-02	0	0
6.000000e-02	1	1
6.000000e-02	2	2
6.000000e-02	3	3
6.000000e-02	4	4
6.000000e-02	5	5
6.000000e-02	6	6
6.000000e-02	7	1
6.000000e-02	8	9
6.000000e-02	9	9
6.000000e-02	10	10
6.000000e-02	11	18
6.000000e-02	12	8
6.000000e-02	13	10
6.000000e-02	14	13
6.000000e-02	15	16
6.000000e-02	16	16
6.000000e-02	17	17
6.000000e-02	18	18
6.000000e-02	19	19
6.000000e-02	20	20
6.000000e-02	21	21
6.000000e-02	22	22
6.000000e-02	23	23
6.000000e-02	24	24
6.000000e-02	25	25
6.000000e-02	26	26
6.000000e-02	27	27
6.000000e-02	28	28
6.000000e-02	29	29
7.000000e-02	0	0
7.000000e-02	1	1
7.000000e-02	2	2
7.000000e-02	3	3
7.000000e-02	4	4
7.000000e-02	5	5
7.000000e-02	6	6
7.000000e-02	7	1
7.000000e-02	8	9
7.000000e-02	9	9
7.000000e-02	10	10
7.000000e-02	11	18
7.000000e-02	12	8
7.000000e-02	13	10
7.000000e-02	14	13
7.000000e-02	15	16
7.000000e-02	16	16
7.000000e-02	17	17
7.000000e-02	18	18
7.000000e-02	19	19
7.000000e-02	20	20
7.000000e-02	21	21
7.000000e-02	22	22
7.000000e-02	23	23
7.000000e-02	24	24
7.000000e-02	25	25
7.000000e-02	26	26
7.000000e-02	27	27
7.000000e-02	28	28
7.000000e-02	29	29
8.000000e-02	0	0
8.000000e-02	1	1
8.000000e-02	2	2
8.000000e-02	3	3
8.000000e-02	4	4
8.000000e-02	5	5
8.000000e-02	6	6
8.000000e-02	7	1
8.000000e-02	8	9
8.000000e-02	9	9
8.000000e-02	10	10
8.000000e-02	11	18
8.000000e-02	12	8
8.000000e-02	13	10
8.000000e-02	14	13
8.000000e-02	15	16
8.000000e-02	16	16
8.000000e-02	17	17
8.000000e-02	18	18
8.000000e-02	19	19
8.000000e-02	20	20
8.000000e-02	21	21
8.000000e-02	22	22
8.000000e-02	23	23
8.000000e-02	24	24
8.000000e-02	25	25
8.000000e-02	26	26
8.000000e-02	27	27
8.000000e-02	28	28
8.000000e-02	29	29
9.000000e-02	0	0
9.000000e-02	1	1
9.000000e-02	2	2
9.000000e-02	3	3
9.000000e-02	4	4
9.000000e-02	5	5
9.000000e-02	6	6
9.000000e-02	7	1
9.000000e-02	8	9
9.000000e-02	9	9
9.000000e-02	10	10
9.000000e-02	11	18
9.000000e-02	12	8
9.000000e-02	13	10
9.000000e-02	14	13
9.000000e-02	15	16
9.000000e-02	16	16
9.000000e-02	17	17
9.000000e-02	18	18
9.000000e-02	19	19
9.000000e-02	20	20
9.000000e-02	21	21
9.000000e-02	22	22
9.000000e-02	23	23
9.000000e-02	24	24
9.000000e-02	25	25
9.000000e-02	26	26
9.000000e-02	27	27
9.000000e-02	28	28
9.000000e-02	29	29
1.000000e-01	0	0
1.000000e-01	1	1
1.000000e-01	2	2
1.000000e-01	3	3
1.000000e-01	4	4
1.000000e-01	5	5
1.000000e-01	6	6
1.000000e-01	7	1
1.000000e-01	8	9
1.000000e-01	9	9
1.000000e-01	10	10
1.000000e-01	11	18
1.000000e-01	12	8
1.000000e-01	13	10
1.000000e-01	14	13
1.000000e-01	15	16
1.000000e-01	16	16
1.000000e-01	17	17
1.000000e-01	18	18
1.000000e-01	19	19
1.000000e-01	20	20
1.000000e-01	21	21
1.000000e-01	22	22
1.000000e-01	23	23
1.000000e-01	24	24
1.000000e-01	25	25
1.000000e-01	26	26
1.000000e-01	27	27
1.000000e-01	28	28
1.000000e-01	29	29
1.100000e-01	0	0
1.100000e-01	1	1
1.100000e-01	2	2
1.100000e-01	3	3
1.100000e-01	4	4
1.100000e-01	5	5
1.100000e-01	6	6
1.100000e-01	7	1
1.100000e-01	8	9
1.100000e-01	9	9
1.100000e-01	10	10
1.100000e-01	11	18
1.100000e-01	12	8
1.100000e-01	13	10
1.100000e-01	14	13
1.100000e-01	15	16
1.100000e-01	16	16
1.100000e-01	17	17
1.100000e-01	18	18
1.100000e-01	19	19
1.100000e-01	20	20
1.100000e-01	21	21
1.100000e-01	22	22
1.100000e-01	23	23
1.100000e-01	24	24
1.100000e-01	25	25
1.100000e-01	26	26
1.100000e-01	27	27
1.100000e-01	28	28
1.100000e-01	29	29
1.200000e-01	0	0
1.200000e-01	1	1
1.200000e-01	2	2
1.200000e-01	3	3
1.200000e-01	4	4
1.200000e-01	5	5
1.200000e-01	6	6
1.200000e-01	7	1
1.200000e-01	8	9
1.200000e-01	9	9
1.200000e-01	10	10
1.200000e-01	11	18
1.200000e-01	12	8
1.200000e-01	13	10
1.200000e-01	14	13
1.200000e-01	15	16
1.200000e-01	16	16
1.200000e-01	17	17
1.200000e-01	18	18
1.200000e-01	19	19
1.200000e-01	20	20
1.200000e-01	21	21
1.200000e-01	22	22
1.200000e-01	23	23
1.200000e-01	24	24
1.200000e-01	25	25
1.200000e-01	26	26
1.200000e-01	27	27
1.200000e-01	28	28
1.200000e-01	29	29
1.300000e-01	0	0
1.300000e-01	1	1
1.300000e-01	2	2
1.300000e-01	3	3
1.300000e-01	4	4
1.300000e-01	5	5
1.300000e-01	6	6
1.300000e-01	7	1
1.300000e-01	8	9
1.300000e-01	9	9
1.300000e-01	10	10
1.300000e-01	11	18
1.300000e-01	12	8
1.300000e-01	13	10
1.300000e-01	14	13
1.300000e-01	15	16
1.300000e-01	16	16
1.300000e-01	17	17
1.300000e-01	18	18
1.300000e-01	19	19
1.300000e-01	20	20
1.300000e-01	21	21
1.300000e-01	22	22
1.300000e-01	23	23
1.300000e-01	24	24
1.300000e-01	25	25
1.300000e-01	26	26
1.300000e-01	27	27
1.300000e-01	28	28
1.300000e-01	29	29
1.400000e-01	0	0
1.400000e-01	1	1
1.400000e-01	2	2
1.400000e-01	3	3
1.400000e-01	4	4
1.400000e-01	5	5
1.400000e-01	6	6
1.400000e-01	7	1
1.400000e-01	8	9
1.400000e-01	9	9
1.400000e-01	10	10
1.400000e-01	11	18
1.400000e-01	12	8
1.400000e-01	13	10
1.400000e-01	14	13
1.400000e-01	15	16
1.400000e-01	16	16
1.400000e-01	17	17
1.400000e-01	18	18
1.400000e-01	19	19
1.400000e-01	20	20
1.400000e-01	21	21
1.400000e-01	22	22
1.400000e-01	23	23
1.400000e-01	24	24
1.400000e-01	25	25
1.400000e-01	26	26
1.400000e-01	27	27
1.400000e-01	28	28
1.400000e-01	29	29
1.500000e-01	0	0
1.500000e-01	1	1
1.500000e-01	2	2
1.500000e-01	3	3
1.500000e-01	4	4
1.500000e-01	5	5
1.500000e-01	6	6
1.500000e-01	7	1
1.500000e-01	8	9
1.500000e-01	9	9
1.500000e-01	10	10
1.500000e-01	11	18
1.500000e-01	12	8
1.500000e-01	13	10
1.500000e-01	14	13
1.500000e-01	15	16
1.500000e-01	16	16
1.500000e-01	17	17
1.500000e-01	18	18
1.500000e-01	19	19
1.500000e-01	20	20
1.500000e-01	21	21
1.500000e-01	22	22
1.500000e-01	23	23
1.500000e-01	24	24
1.500000e-01	25	25
1.500000e-01	26	26
1.500000e-01	27	27
1.500000e-01	28	28
1.500000e-01	29	29
1.600000e-01	0	0
1.600000e-01	1	1
1.600000e-01	2	2
1.600000e-01	3	3
1.600000e-01	4	4
1.600000e-01	5	5
1.600000e-01	6	6
1.600000e-01	7	1
1.600000e-01	8	9
1.600000e-01	9	9
1.600000e-01	10	10
1.600000e-01	11	18
1.600000e-01	12	8
1.600000e-01	13	10
1.600000e-01	14	13
1.600000e-01	15	16
1.600000e-01	16	16
1.600000e-01	17	17
1.600000e-01	18	18
1.600000e-01	19	19
1.600000e-01	20	20
1.600000e-01	21	21
1.600000e-01	22	22
1.600000e-01	23	23
1.600000e-01	24	24
1.600000e-01	25	25
1.600000e-01	26	26
1.600000e-01	27	27
1.600000e-01	28	28
1.600000e-01	29	29
1.700000e-01	0	0
1.700000e-01	1	1
1.700000e-01	2	2
1.700000e-01	3	3
1.700000e-01	4	4
1.700000e-01	5	5
1.700000e-01	6	6
1.700000e-01	7	1
1.700000e-01	8	9
1.700000e-01	9	9
1.700000e-01	10	10
1.700000e-01	11	18
1.700000e-01	12	8
1.700000e-01	13	10
1.700000e-01	14	13
1.700000e-01	15	16
1.700000e-01	16	16
1.700000e-01	17	17
1.700000e-01	18	18
1.700000e-01	19	19
1.700000e-01	20	20
1.700000e-01	21	21
1.700000e-01	22	22
1.700000e-01	23	23
1.700000e-01	24	24
1.700000e-01	25	25
1.700000e-01	26	26
1.700000e-01	27	27
1.700000e-01	28	28
1.700000e-01	29	29
1.800000e-01	0	0
1.800000e-01	1	1
1.800000e-01	2	2
1.800000e-01	3	3
1.800000e-01	4	4
1.800000e-01	5	5
1.800000e-01	6	6
1.800000e-01	7	1
1.800000e-01	8	9
1.800000e-01	9	9
1.800000e-01	10	10
1.800000e-01	11	18
1.800000e-01	12	8
1.800000e-01	13	10
1.800000e-01	14	13
1.800000e-01	15	16
1.800000e-01	16	16
1.800000e-01	17	17
1.800000e-01	18	18
1.800000e-01	19	19
1.800000e-01	20	20
1.800000e-01	21	21
1.800000e-01	22	22
1.800000e-01	23	23
1.800000e-01	24	24
1.800000e-01	25	25
1.800000e-01	26	26
1.800000e-01	27	27
1.800000e-01	28	28
1.800000e-01	29	29
1.900000e-01	0	0
1.900000e-01	1	1
1.900000e-01	2	2
1.900000e-01	3	3
